# 13534 voids from default
# VoidID RA(deg) Dec(deg) redshift R_eff(Mpc/h) delta_min delta_avg lambda_v DensRatio Theta_eff(deg) EdgeFlag
26232 113.064864 24.222 1.396 145.6445 -0.729 -0.250972 -98.987105 1.522277 2.881806 1
25903 128.736948 54.763 1.375 135.2040 -0.729 -0.205066 -73.974492 1.530670 2.701649 0
575 174.548112 -14.354 1.824 149.3175 -0.729 -0.219740 -89.298245 1.503141 2.507289 0
75759 325.157498 -62.237 1.730 148.2401 -0.728 -0.259503 -104.544470 1.312059 2.567586 0
37184 259.020540 26.462 0.942 127.4462 -0.728 -0.183849 -61.780794 1.279891 3.319348 0
104147 352.694766 -24.753 1.404 154.2280 -0.728 -0.213110 -90.032373 1.203209 3.040684 0
77465 43.616057 -46.299 1.442 161.9426 -0.728 -0.276805 -123.995985 1.385904 3.138337 0
94629 38.526853 -32.163 1.667 190.0281 -0.728 -0.228724 -124.134487 1.389830 3.364688 1
73346 68.989924 -21.586 1.887 144.3995 -0.728 -0.268179 -104.689586 1.357730 2.377704 1
69119 61.111031 -45.371 0.902 137.4181 -0.728 -0.285761 -105.112734 1.548991 3.698678 1
104045 359.686983 -38.118 1.743 174.2197 -0.728 -0.292549 -143.059093 1.167138 3.003607 0
19684 229.867320 30.117 1.319 166.1001 -0.728 -0.238185 -109.991143 1.277112 3.410853 0
22555 235.216832 33.284 1.388 184.9136 -0.728 -0.244563 -128.455619 1.214504 3.672281 0
103207 38.267644 0.195 1.616 190.6769 -0.728 -0.244491 -133.235473 1.619694 3.440037 0
22543 161.353350 58.293 1.234 139.6105 -0.728 -0.191533 -71.803603 1.599072 2.997965 0
22830 120.700645 7.923 1.128 181.4162 -0.727 -0.189280 -97.166613 1.754196 4.145897 0
1837 167.313400 29.297 1.773 174.9332 -0.727 -0.179655 -88.284662 1.455705 2.986038 0
93174 40.231827 -11.962 1.339 217.4009 -0.727 -0.216434 -138.050961 1.475516 4.421005 0
107223 346.997843 8.100 1.363 158.5405 -0.727 -0.199377 -87.065042 1.604640 3.185684 1
71058 50.520794 -57.138 1.212 161.4789 -0.727 -0.213232 -95.189835 1.179223 3.511489 0
20154 139.747379 29.351 0.968 172.6403 -0.727 -0.274741 -132.890488 1.508928 4.406720 0
21547 133.051639 52.639 1.677 157.7815 -0.727 -0.267271 -116.043144 1.653642 2.783326 1
625 166.820547 -7.406 1.700 192.8331 -0.727 -0.133765 -73.885957 1.792863 3.374853 0
21238 234.440860 31.943 1.455 171.8829 -0.727 -0.237220 -114.138107 1.210649 3.310969 0
109379 350.204405 -17.785 1.678 178.0013 -0.727 -0.243880 -122.372783 1.398762 3.139313 0
2582 164.398451 -25.242 1.546 173.9895 -0.726 -0.143570 -70.095720 1.744317 3.226432 0
6058 216.754326 1.540 1.426 184.3965 -0.726 -0.194275 -101.700044 1.607256 3.598544 0
82308 307.080817 -35.343 1.716 145.0445 -0.726 -0.158468 -62.193104 1.717625 2.523599 0
67933 59.813858 -54.392 1.096 161.9887 -0.726 -0.264369 -118.465694 1.388485 3.779037 0
